"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Population of one race:"," !!Total:!!Population of one race:!!White alone"," !!Total:!!Population of one race:!!Black or African American alone"," !!Total:!!Population of one race:!!American Indian and Alaska Native alone"," !!Total:!!Population of one race:!!Asian alone"," !!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Population of one race:!!Some Other Race alone"," !!Total:!!Population of two or more races:"," !!Total:!!Population of two or more races:!!Population of two races:"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Black or African American"," !!Total:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Asian"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Some Other Race"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Asian"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Some Other Race"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Asian"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Some Other Race"," !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of two races:!!Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; American Indian and Alaska Native"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Asian"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Asian"," !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Asian"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Asian"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of five races:"," !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of five races:!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of five races:!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of six races:"," !!Total:!!Population of two or more races:!!Population of six races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race",
"1500000US370010201001","Block Group 1, Census Tract 201, Alamance County, North Carolina","1329","1232","870","236","13","8","1","104","97","92","24","14","5","0","39","3","1","0","5","0","0","1","0","0","0","5","2","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010201002","Block Group 2, Census Tract 201, Alamance County, North Carolina","1255","1193","992","122","7","9","1","62","62","55","14","10","5","0","16","5","4","0","0","0","0","0","0","0","1","4","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010201003","Block Group 3, Census Tract 201, Alamance County, North Carolina","789","724","211","409","3","14","2","85","65","59","11","3","4","0","25","13","0","0","3","0","0","0","0","0","0","5","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1500000US370010201004","Block Group 4, Census Tract 201, Alamance County, North Carolina","667","627","310","185","16","11","1","104","40","37","5","16","1","0","13","0","0","0","0","2","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010202001","Block Group 1, Census Tract 202, Alamance County, North Carolina","1020","943","378","291","5","21","2","246","77","73","14","9","9","0","36","1","1","0","2","1","0","0","0","0","0","4","1","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010202002","Block Group 2, Census Tract 202, Alamance County, North Carolina","678","603","211","220","14","6","1","151","75","71","8","15","2","0","44","0","1","0","1","0","0","0","0","0","0","4","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010202003","Block Group 3, Census Tract 202, Alamance County, North Carolina","944","872","338","237","19","7","2","269","72","63","8","16","1","0","30","1","0","0","1","1","0","5","0","0","0","9","4","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010202004","Block Group 4, Census Tract 202, Alamance County, North Carolina","1495","1357","459","486","38","15","1","358","138","125","18","15","0","1","83","2","2","0","0","0","0","4","0","0","0","11","9","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010203011","Block Group 1, Census Tract 203.01, Alamance County, North Carolina","976","918","320","264","14","9","0","311","58","53","17","3","0","0","19","2","0","0","2","0","0","9","0","1","0","4","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010203012","Block Group 2, Census Tract 203.01, Alamance County, North Carolina","1312","1208","349","568","30","6","1","254","104","90","15","12","0","0","39","5","3","0","9","0","0","7","0","0","0","14","8","0","0","3","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010203013","Block Group 3, Census Tract 203.01, Alamance County, North Carolina","1925","1794","490","764","46","13","1","480","131","112","23","8","3","0","57","13","2","0","2","0","0","3","0","1","0","18","14","0","0","1","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010203021","Block Group 1, Census Tract 203.02, Alamance County, North Carolina","1560","1448","540","406","10","29","0","463","112","109","15","14","1","0","64","3","0","0","4","0","0","8","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010203022","Block Group 2, Census Tract 203.02, Alamance County, North Carolina","2414","2194","723","458","56","31","0","926","220","210","17","12","3","2","145","9","0","0","7","0","0","13","0","1","1","9","1","0","0","1","0","0","1","0","1","1","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0",
"1500000US370010204001","Block Group 1, Census Tract 204, Alamance County, North Carolina","2394","2246","805","1044","25","30","6","336","148","134","39","17","5","0","46","8","0","0","6","0","1","10","1","1","0","13","4","0","0","4","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010204002","Block Group 2, Census Tract 204, Alamance County, North Carolina","1494","1349","293","741","8","11","2","294","145","135","20","14","2","0","76","4","0","0","14","1","1","3","0","0","0","9","6","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010204003","Block Group 3, Census Tract 204, Alamance County, North Carolina","702","616","65","390","4","5","1","151","86","77","22","8","4","0","31","5","0","0","1","0","0","4","0","2","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010204004","Block Group 4, Census Tract 204, Alamance County, North Carolina","882","834","121","492","25","0","1","195","48","45","5","1","0","0","24","13","0","0","2","0","0","0","0","0","0","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010204005","Block Group 5, Census Tract 204, Alamance County, North Carolina","1084","1023","101","676","17","0","2","227","61","58","6","0","2","0","37","6","1","0","3","0","2","0","0","1","0","3","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010205011","Block Group 1, Census Tract 205.01, Alamance County, North Carolina","2667","2463","1869","341","14","25","5","209","204","190","34","39","14","0","85","10","0","1","4","0","0","2","0","1","0","13","5","1","0","0","0","0","3","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010205012","Block Group 2, Census Tract 205.01, Alamance County, North Carolina","1298","1210","820","282","16","11","1","80","88","84","11","20","3","0","45","3","0","1","1","0","0","0","0","0","0","4","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010205021","Block Group 1, Census Tract 205.02, Alamance County, North Carolina","2567","2379","763","1043","33","20","0","520","188","170","46","18","7","1","80","4","2","2","3","2","0","4","1","0","0","18","9","2","0","3","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010205022","Block Group 2, Census Tract 205.02, Alamance County, North Carolina","1022","934","271","445","9","7","0","202","88","81","15","10","0","0","43","9","0","0","2","0","0","2","0","0","0","7","3","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010205023","Block Group 3, Census Tract 205.02, Alamance County, North Carolina","710","655","232","274","19","11","1","118","55","53","7","0","1","1","33","6","0","1","1","0","0","1","1","1","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010206011","Block Group 1, Census Tract 206.01, Alamance County, North Carolina","887","861","813","23","2","10","0","13","26","25","4","4","0","1","16","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010206012","Block Group 2, Census Tract 206.01, Alamance County, North Carolina","921","879","833","28","2","9","0","7","42","39","9","4","3","0","21","0","1","0","0","0","0","1","0","0","0","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010206013","Block Group 3, Census Tract 206.01, Alamance County, North Carolina","1362","1301","1150","57","5","42","0","47","61","60","10","12","6","0","22","5","0","0","4","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010206021","Block Group 1, Census Tract 206.02, Alamance County, North Carolina","688","632","417","134","5","13","0","63","56","51","8","14","4","0","23","0","0","0","1","0","0","0","1","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010206022","Block Group 2, Census Tract 206.02, Alamance County, North Carolina","1821","1721","1487","142","1","25","1","65","100","84","23","15","2","2","30","3","2","0","4","0","0","2","1","0","0","16","5","5","1","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010207011","Block Group 1, Census Tract 207.01, Alamance County, North Carolina","906","859","564","214","3","37","0","41","47","44","15","3","3","0","21","2","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1500000US370010207012","Block Group 2, Census Tract 207.01, Alamance County, North Carolina","1520","1409","1058","165","9","35","6","136","111","101","20","14","12","0","41","3","4","1","3","0","0","2","1","0","0","9","1","1","0","4","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1500000US370010207013","Block Group 3, Census Tract 207.01, Alamance County, North Carolina","1100","1035","655","247","8","42","4","79","65","62","12","11","3","0","28","3","0","0","5","0","0","0","0","0","0","3","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010207014","Block Group 4, Census Tract 207.01, Alamance County, North Carolina","1492","1417","1043","258","4","63","2","47","75","68","13","15","4","0","24","2","3","0","4","0","0","0","0","0","3","5","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010207021","Block Group 1, Census Tract 207.02, Alamance County, North Carolina","1393","1276","710","375","10","30","2","149","117","112","27","14","2","1","41","5","1","1","17","0","0","3","0","0","0","5","1","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010207022","Block Group 2, Census Tract 207.02, Alamance County, North Carolina","1311","1244","631","530","4","8","0","71","67","66","15","13","9","0","21","4","0","0","4","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010207023","Block Group 3, Census Tract 207.02, Alamance County, North Carolina","1342","1249","578","453","18","35","6","159","93","89","31","11","10","2","20","6","1","4","3","0","0","1","0","0","0","4","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010207024","Block Group 4, Census Tract 207.02, Alamance County, North Carolina","1017","955","626","260","5","10","4","50","62","62","22","13","1","0","15","7","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010208011","Block Group 1, Census Tract 208.01, Alamance County, North Carolina","1930","1783","1101","422","18","39","3","200","147","133","38","15","19","4","45","0","0","0","5","0","0","7","0","0","0","12","5","0","0","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010208021","Block Group 1, Census Tract 208.02, Alamance County, North Carolina","797","740","296","246","5","1","0","192","57","55","8","6","0","0","29","3","2","0","6","0","0","0","0","1","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010208022","Block Group 2, Census Tract 208.02, Alamance County, North Carolina","1210","1091","278","436","15","41","0","321","119","110","16","15","4","0","60","3","1","0","3","0","0","6","1","1","0","8","5","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010208023","Block Group 3, Census Tract 208.02, Alamance County, North Carolina","1335","1221","456","487","27","32","0","219","114","111","17","1","2","0","74","5","2","0","2","0","0","7","0","1","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010208024","Block Group 4, Census Tract 208.02, Alamance County, North Carolina","883","821","304","353","7","3","0","154","62","56","20","10","0","0","18","2","0","0","2","0","0","4","0","0","0","5","3","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010208025","Block Group 5, Census Tract 208.02, Alamance County, North Carolina","802","726","273","229","23","6","0","195","76","63","14","8","0","0","33","0","1","0","3","0","0","3","0","1","0","10","6","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010208026","Block Group 6, Census Tract 208.02, Alamance County, North Carolina","1148","1042","514","293","4","15","0","216","106","104","13","12","1","0","68","1","1","0","4","0","0","2","0","2","0","2","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010209011","Block Group 1, Census Tract 209.01, Alamance County, North Carolina","1414","1307","858","354","7","11","4","73","107","96","15","16","8","0","35","4","1","2","4","0","0","11","0","0","0","10","9","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010209012","Block Group 2, Census Tract 209.01, Alamance County, North Carolina","1029","964","642","165","3","6","0","148","65","60","7","9","1","0","38","2","0","0","3","0","0","0","0","0","0","3","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010209013","Block Group 3, Census Tract 209.01, Alamance County, North Carolina","1428","1306","643","273","22","64","0","304","122","111","12","5","6","0","67","6","3","0","4","1","0","6","0","1","0","9","4","1","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0",
"1500000US370010209021","Block Group 1, Census Tract 209.02, Alamance County, North Carolina","2336","2162","1527","265","48","38","0","284","174","168","20","31","4","0","108","1","0","0","1","0","0","1","0","0","2","5","1","1","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010209022","Block Group 2, Census Tract 209.02, Alamance County, North Carolina","1551","1453","1175","183","13","34","0","48","98","93","16","25","4","0","33","4","0","0","3","0","0","5","0","2","1","5","3","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010210001","Block Group 1, Census Tract 210, Alamance County, North Carolina","1145","1033","457","411","8","5","1","151","112","103","23","14","0","0","38","17","1","0","5","0","0","5","0","0","0","9","4","0","0","0","0","0","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010210002","Block Group 2, Census Tract 210, Alamance County, North Carolina","1909","1764","690","697","39","12","1","325","145","131","37","16","13","1","54","3","3","0","3","0","0","1","0","0","0","13","5","0","0","1","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0",
"1500000US370010210003","Block Group 3, Census Tract 210, Alamance County, North Carolina","1037","915","341","396","12","14","0","152","122","110","36","13","2","0","53","4","0","0","1","0","0","1","0","0","0","10","6","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010211011","Block Group 1, Census Tract 211.01, Alamance County, North Carolina","599","535","267","154","15","5","2","92","64","61","15","1","5","0","30","3","0","0","7","0","0","0","0","0","0","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010211012","Block Group 2, Census Tract 211.01, Alamance County, North Carolina","2707","2544","1508","760","26","40","1","209","163","153","20","26","15","0","69","11","0","0","6","0","0","6","0","0","0","10","3","0","0","1","3","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010211013","Block Group 3, Census Tract 211.01, Alamance County, North Carolina","678","580","299","215","11","7","1","47","98","91","23","10","15","0","25","7","0","0","9","0","0","0","0","2","0","7","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US370010211021","Block Group 1, Census Tract 211.02, Alamance County, North Carolina","1193","1109","528","493","10","15","0","63","84","74","35","6","5","0","16","7","0","1","4","0","0","0","0","0","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
